firm_id int, firm_name varchar(100), firm_url varchar(300), site_status int, ceo_name varchar(50), settling_day date, exective_name1 varchar(50), exective_name2 varchar(50), exective_name3 varchar(50), exective_name4 varchar(50), exective_name5 varchar(50), exective_name6 varchar(50), exective_name7 varchar(50), exective_name8 varchar(50), exective_name9 varchar(50), exective_name10 varchar(50), exective_name11 varchar(50), exective_name12 varchar(50), exective_name13 varchar(50), exective_name14 varchar(50), exective_name15 varchar(50), ir_url varchar(300), ceo_face_pic_url varchar(300), done int
1591,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信,,,,,,,,,,,,,,,,,,,,,,1
1592,上場インデックスファンドＪＰＸ日経インデックス４００,,,,,,,,,,,,,,,,,,,,,,1
1593,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信,,,,,,,,,,,,,,,,,,,,,,1
1595,ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数,,,,,,,,,,,,,,,,,,,,,,1
1596,ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,,,,,,,,,,,,,,,,,,,,,,1
1597,ＭＡＸＩＳ　Ｊリート上場投信,,,,,,,,,,,,,,,,,,,,,,1
1598,ＮＥＸＴ　ＦＵＮＤＳ　Ｒ／Ｎファンダメンタル・インデックス上場投信,,,,,,,,,,,,,,,,,,,,,,1
1599,ダイワ上場投信－ＪＰＸ日経４００,,,,,,,,,,,,,,,,,,,,,,1
1605,国際石油開発帝石,,,,,,,,,,,,,,,,,,,,,,1
1610,ダイワ上場投信－東証電気機器株価指数,,,,,,,,,,,,,,,,,,,,,,1
1612,ダイワ上場投信－東証銀行業株価指数,,,,,,,,,,,,,,,,,,,,,,1
1613,東証電気機器株価指数連動型上場投資信託,,,,,,,,,,,,,,,,,,,,,,1
1615,東証銀行業株価指数連動型上場投資信託,,,,,,,,,,,,,,,,,,,,,,1
1617,ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ－１７）上場投信,,,,,,,,,,,,,,,,,,,,,,1
1618,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ－１７）上場投信,,,,,,,,,,,,,,,,,,,,,,1
1619,ＮＥＸＴ　ＦＵＮＤＳ　建設・資材（ＴＯＰＩＸ－１７）上場投信,,,,,,,,,,,,,,,,,,,,,,1
1620,ＮＥＸＴ　ＦＵＮＤＳ　素材・化学（ＴＯＰＩＸ－１７）上場投信,,,,,,,,,,,,,,,,,,,,,,1
1621,ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ－１７）上場投信,,,,,,,,,,,,,,,,,,,,,,1
1622,ＮＥＸＴ　ＦＵＮＤＳ　自動車・輸送機（ＴＯＰＩＸ－１７）上場投信,,,,,,,,,,,,,,,,,,,,,,1
1623,ＮＥＸＴ　ＦＵＮＤＳ　鉄鋼・非鉄（ＴＯＰＩＸ－１７）上場投信,,,,,,,,,,,,,,,,,,,,,,1
1624,ＮＥＸＴ　ＦＵＮＤＳ　機械（ＴＯＰＩＸ－１７）上場投信,,,,,,,,,,,,,,,,,,,,,,1
1625,ＮＥＸＴ　ＦＵＮＤＳ　電機・精密（ＴＯＰＩＸ－１７）上場投信,,,,,,,,,,,,,,,,,,,,,,1
1626,ＮＥＸＴ　ＦＵＮＤＳ　情報通信・サービスその他（ＴＯＰＩＸ－１７）上場投信,,,,,,,,,,,,,,,,,,,,,,1
1627,ＮＥＸＴ　ＦＵＮＤＳ　電力・ガス（ＴＯＰＩＸ－１７）上場投信,,,,,,,,,,,,,,,,,,,,,,1
1628,ＮＥＸＴ　ＦＵＮＤＳ　運輸・物流（ＴＯＰＩＸ－１７）上場投信,,,,,,,,,,,,,,,,,,,,,,1
1629,ＮＥＸＴ　ＦＵＮＤＳ　商社・卸売（ＴＯＰＩＸ－１７）上場投信,,,,,,,,,,,,,,,,,,,,,,1
1630,ＮＥＸＴ　ＦＵＮＤＳ　小売（ＴＯＰＩＸ－１７）上場投信,,,,,,,,,,,,,,,,,,,,,,1
1631,ＮＥＸＴ　ＦＵＮＤＳ　銀行（ＴＯＰＩＸ－１７）上場投信,,,,,,,,,,,,,,,,,,,,,,1
